,nhru_v1_1,reachcode,comid,geometry
3221,2694,02040207000054,8077030,POINT (-75.50975412632691 38.90941427305429)
3219,2692,02040207000096,8076762,POINT (-75.55697339359445 38.97850620658034)
1569,2696,02040207000094,8077776,POINT (-75.52987479284248 38.981234673214885)
1087,2697,02040207001323,8077930,POINT (-75.16134532722131 38.789454806255826)
2817,2698,02040207001114,8078046,POINT (-75.22460732687354 38.80969187308018)
3222,2695,02040207000237,8077194,POINT (-75.31995199390747 38.820118406338075)
1678,2699,02040207001126,8080210,POINT (-75.31371112628653 38.95044820636787)
1990,2693,02040207000035,8076836,POINT (-75.36775099328624 38.95625480619812)
2176,2691,02040207001118,8075808,POINT (-75.39269752629376 39.05031527253125)
3220,2690,02040207001080,8075804,POINT (-75.39605959292972 39.05851600600678)
1304,2689,02040207000107,8075784,POINT (-75.40171072709853 39.066179805883046)
1500,2688,02040207010319,8075756,POINT (-75.49405919331878 39.124981072770055)
2622,3574,02040206001801,9486502,POINT (-75.03117659434429 39.215360405947564)
2641,3573,02040206002444,9486302,POINT (-74.99962019419475 39.261556605365605)
1852,4205,02040204028908,24903800,POINT (-75.3490497939175 39.26554447261438)
1085,4204,02040204028903,24903778,POINT (-75.39815499396526 39.31749960558334)
2656,4202,02040204028900,24903746,POINT (-75.43739012645729 39.357235205358315)
995,4231,02040204028913,25039924,POINT (-75.43739012645729 39.357235205358315)
2423,4201,02040204028898,24903740,POINT (-75.4556997266053 39.37703460553119)
1916,4230,02040206002453,25039918,POINT (-75.4556997266053 39.37703460553119)
2398,3572,02040206001810,9486118,POINT (-75.31668799408651 39.390417805353025)
1613,4200,02040206002392,24903694,POINT (-75.47202432689552 39.396484272137904)
2073,4198,02040204028894,24903672,POINT (-75.47202432689552 39.396484272137904)
898,4199,02040206002391,24903688,POINT (-75.44663272675643 39.43550400508732)
1029,3569,02040206000055,9484602,POINT (-75.07096392704732 39.439233871834524)
1664,3568,02040206000056,9484562,POINT (-75.07284599370152 39.44880180563151)
3053,3567,02040206000148,9484462,POINT (-75.25578179332612 39.47070167165741)
3052,3570,02040206001807,9485398,POINT (-75.0750607265956 39.48956560553007)
3215,3559,02040206000186,9481056,POINT (-75.37055639353734 39.562609671762836)
2675,3565,02040206000275,9482268,POINT (-75.47533352643173 39.578745271511636)
1322,4190,02040206002344,24903500,POINT (-75.47533352643173 39.578745271511636)
1238,3558,02040206000727,9480994,POINT (-75.47336052703906 39.57883900544883)
2206,3561,02040206001685,9481750,POINT (-75.0784815940955 39.58228427156301)
2234,3562,02040206000078,9481756,POINT (-75.0784815940955 39.58228427156301)
2803,3564,02040206030305,9482216,POINT (-75.47347399378926 39.58774680550276)
3051,3560,02040206000081,9481686,POINT (-75.07644099374292 39.62325087201039)
3214,3557,02040206000219,9480708,POINT (-75.33105859297004 39.64652740512868)
2545,3566,02040206001818,9482588,POINT (-75.48342292642458 39.65275280522659)
1212,3563,02040206001794,9482016,POINT (-75.47107359325133 39.65906040481314)
1969,4182,02040205001359,24902758,POINT (-75.50440032645676 39.71264127157104)
1878,4187,02040204028877,24903456,POINT (-75.50440032645676 39.71264127157104)
3187,1826,02040202000048,4496396,POINT (-75.11338552737902 39.736822871739555)
3194,1808,02040202000011,4495818,POINT (-75.26500739338884 39.742378471193895)
2168,2048,02040205000105,4655446,POINT (-75.62126532619409 39.69745740458278)
2834,2041,02040205000146,4652180,POINT (-75.62126532619409 39.69745740458278)
3200,2033,02040205000118,4651938,POINT (-75.65268179363989 39.70699360484104)
2588,2024,02040205000106,4651348,POINT (-75.64616339296043 39.70752140504459)
2300,2025,02040205000117,4651352,POINT (-75.64616339296043 39.70752140504459)
3203,2031,02040205000107,4651930,POINT (-75.64228339280034 39.71280887170253)
893,2023,02040205000127,4651292,POINT (-75.76070632660684 39.72984980543594)
2820,2047,02040205000943,4655444,POINT (-75.53271992631383 39.73171620505191)
1949,2040,02040205000100,4652144,POINT (-75.53271992631383 39.73171620505191)
2677,4206,02040202002996,25015872,POINT (-75.39383132730308 39.810172404864396)
2606,1830,02040202000004,4499332,POINT (-75.39383132730308 39.810172404864396)
1487,1822,02040202001990,4496278,POINT (-75.35482059341972 39.837314404395705)
956,1825,02040202000207,4496280,POINT (-75.35482059341972 39.837314404395705)
3193,1809,02040202000207,4495846,POINT (-75.35901859313508 39.84323180519993)
1352,1819,02040202000027,4496242,POINT (-75.32758572736729 39.84722000465461)
1498,1829,02040202000173,4499322,POINT (-75.32758572736729 39.84722000465461)
1668,1807,02040202000193,4495710,POINT (-75.34509059304888 39.85169687110626)
1450,1828,02040202000030,4499318,POINT (-75.22874372652778 39.85187427135657)
3218,2686,02040207000133,8074660,POINT (-75.5147455261996 39.14843047253133)
1419,2687,02040207000135,8075214,POINT (-75.54360192681352 39.1825796060474)
2853,2700,02040207000166,8080218,POINT (-75.52414459376176 39.36011320558791)
3217,2043,02040205000006,4653422,POINT (-75.66395639296353 39.37228880546515)
3216,2042,02040205000161,4653396,POINT (-75.71107159288985 39.43781020590253)
1622,4184,02040205001380,24902854,POINT (-75.58076852592079 39.43829047200236)
1179,4183,02040205001379,24902842,POINT (-75.57953592662314 39.44865707217283)
1166,4195,02040204028890,24903632,POINT (-75.54800599333224 39.449627672245974)
1816,4185,02040205001382,24902860,POINT (-75.54800599333224 39.449627672245974)
1102,3571,02040206001847,9485784,POINT (-75.51317792660276 39.49917067193865)
2782,4193,02040204028882,24903566,POINT (-75.55228039315189 39.50666667243154)
2076,4194,02040204028883,24903606,POINT (-75.55228039315189 39.50666667243154)
1070,4192,02040206002354,24903548,POINT (-75.52971539346025 39.57331280558819)
2709,4191,02040206002352,24903534,POINT (-75.52971539346025 39.57331280558819)
3196,2036,02040205000155,4651956,POINT (-75.69716339328424 39.631244204835816)
2787,2027,02040205000154,4651470,POINT (-75.67648272673628 39.641416871559805)
1588,2035,02040205000150,4651950,POINT (-75.65091619298839 39.66483840519165)
2070,4186,02040204028876,24903444,POINT (-75.51921379328947 39.68753927145149)
3199,2034,02040205000123,4651944,POINT (-75.74802932573535 39.68985580495189)
3198,2032,02040205000124,4651934,POINT (-75.75339312621543 39.69022827213997)
2655,2026,02040205000122,4651394,POINT (-75.71992239307765 39.69327007181728)
1562,2022,02040205000128,4651270,POINT (-75.76149599244592 39.73660167173666)
3202,2030,02040205000108,4651912,POINT (-75.63342832674743 39.74363720525329)
3197,2021,02040205000129,4651254,POINT (-75.77265932665136 39.74491880507667)
3195,2029,02040205000836,4651906,POINT (-75.5136533260679 39.746609871404374)
3213,2046,02040205000021,4655440,POINT (-75.56839379355236 39.770451604686706)
947,2039,02040205000021,4652094,POINT (-75.570516393091 39.78177560505461)
1438,2045,02040205000923,4655358,POINT (-75.57533519365913 39.79666400476063)
2313,2020,02040205000111,4651124,POINT (-75.64841459321582 39.79846607178365)
3201,2019,02040205000112,4651090,POINT (-75.67192052590559 39.808917004509105)
1648,2044,02040205000946,4655354,POINT (-75.57741532653885 39.83450107146555)
3212,2038,02040205001390,4652052,POINT (-75.59965552647844 39.85883947188205)
2049,2037,02040205000948,4652046,POINT (-75.59326379315954 39.86934780440033)
1534,1818,02040202000030,4496230,POINT (-75.23492212700947 39.8570228716421)
2288,1817,02040202000053,4496128,POINT (-75.23492212700947 39.8570228716421)
1235,1801,02040202000208,4494820,POINT (-75.4093557933935 39.86938487099979)
1332,2339,02040203000001,4784843,POINT (-75.19598192731925 39.87671240521702)
2437,1816,02040202000059,4496020,POINT (-75.19598192731925 39.87671240521702)
3154,1794,02040202001897,4492036,POINT (-74.50541899486252 39.884918071181076)
1599,1802,02040202000072,4494832,POINT (-75.02312292700158 39.8958950048821)
1210,1815,02040202000070,4495892,POINT (-75.0215083269288 39.90282787100736)
3189,1806,02040202000159,4495682,POINT (-75.25467032720745 39.905512471429844)
3191,1805,02040202001354,4495680,POINT (-75.25467032720745 39.905512471429844)
3160,1800,02040202000070,4494690,POINT (-75.02637692710063 39.906081804616655)
1909,1799,02040202000195,4494628,POINT (-75.40397199337697 39.917239204318655)
1465,1790,02040202000098,4490920,POINT (-74.75238832819163 39.93901347112488)
1437,1789,02040202000271,4490878,POINT (-74.58431559456261 39.94003347100391)
3158,1804,02040202001663,4495672,POINT (-75.00426579422323 39.941579404726575)
3153,1795,02040202000097,4492122,POINT (-74.79664532806389 39.94896100511021)
2614,1788,02040202000134,4490670,POINT (-74.63596012845636 39.96061340475676)
3155,1793,02040202000266,4491946,POINT (-74.63596012845636 39.96061340475676)
1150,1814,02040202000066,4495870,POINT (-75.12713832724933 39.96150280434043)
1749,1811,02040202000077,4495868,POINT (-75.12713832724933 39.96150280434043)
3190,1803,02040202001355,4495656,POINT (-75.26036439339438 39.9664390043998)
3186,2338,02040203000001,4784831,POINT (-75.18572139367124 39.96684040459787)
3192,1798,02040202000186,4494460,POINT (-75.4319575934874 39.971533871064885)
3156,1792,02040202000131,4491898,POINT (-74.69262772723943 39.97530887156245)
1361,1787,02040202000126,4490494,POINT (-74.78678099463414 39.98950600423463)
1832,1810,02040202000084,4495858,POINT (-75.06091352761598 39.99000527111513)
1837,1827,02040202000079,4499292,POINT (-75.06091352761598 39.99000527111513)
1105,1796,02040202011429,4492216,POINT (-74.86093439377645 39.99647947149783)
2688,1797,02040202011431,4492218,POINT (-74.86093439377645 39.99647947149783)
1840,2327,02040203000001,4782629,POINT (-75.19610999370127 40.007741404974055)
3185,2307,02040203000002,4782187,POINT (-75.20727072647513 40.01324347135457)
3188,1782,02040202000170,4489072,POINT (-75.39067732695447 40.01333960463186)
1278,1785,02040202000086,4489192,POINT (-75.00310019364548 40.02708060451546)
2849,1786,02040202001382,4489194,POINT (-75.00310019364548 40.02708060451546)
3159,1784,02040202000149,4489180,POINT (-75.11190672747674 40.03498980441929)
1984,1778,02040202001993,4488280,POINT (-74.9845795278201 40.04199620474915)
1052,1781,02040202001995,4488284,POINT (-74.9845795278201 40.04199620474915)
3152,1777,02040202001411,4488242,POINT (-74.97871992737132 40.0528166709892)
2685,1776,02040201000080,4485575,POINT (-74.91191879429157 40.070504271128684)
2157,1767,02040201000002,4481919,POINT (-74.91191879429157 40.070504271128684)
3182,2299,02040203000511,4781877,POINT (-75.45700639267677 40.081138604775504)
3157,1783,02040202001385,4489170,POINT (-75.06669579374962 40.08923560472165)
1714,2306,02040203000510,4782171,POINT (-75.46185819384375 40.10248567126692)
1825,2326,02040203000510,4782565,POINT (-75.46154532619215 40.10275340412569)
1708,2325,02040203000030,4782559,POINT (-75.46154532619215 40.10275340412569)
3183,2320,02040203000026,4782501,POINT (-75.34124619305217 40.10977167098993)
2596,2323,02040203000095,4782541,POINT (-75.46219592677917 40.1197480046226)
1139,2324,02040203000031,4782543,POINT (-75.46219592677917 40.1197480046226)
3184,2298,02040203001362,4781731,POINT (-75.2199523937728 40.12404027088633)
1004,1763,02040201000033,4481059,POINT (-74.5626747948837 40.13580460482838)
3146,1765,02040201000032,4481607,POINT (-74.613419794096 40.14055747116056)
1432,1775,02040201000019,4485573,POINT (-74.72266632791198 40.14847080416952)
1101,1766,02040201000680,4481801,POINT (-74.72266632791198 40.14847080416952)
1530,2295,02040203000442,4781633,POINT (-75.44712259317207 40.149133271155755)
2796,2296,02040203000035,4781635,POINT (-75.44712259317207 40.149133271155755)
3181,2304,02040203000447,4782141,POINT (-75.4393511933395 40.16266240410368)
3151,1762,02040201000087,4480911,POINT (-74.95724439383834 40.17334387120232)
2191,1764,02040201000027,4481599,POINT (-74.68065699420289 40.175923404173886)
1605,1499,02040105001097,2590295,POINT (-74.7717747283114 40.21567040394755)
3143,1498,02040105001083,2590277,POINT (-74.7717747283114 40.21567040394755)
3145,1493,02040105001098,2590137,POINT (-74.77060839389368 40.21623387059437)
3180,2303,02040203000046,4782107,POINT (-75.45164299295637 40.221785470441425)
3150,1771,02040201000417,4482885,POINT (-75.11079299444155 40.22996427058244)
1828,2308,02040203000049,4782189,POINT (-75.45629972612947 40.247754670860886)
2170,2302,02040203000066,4782087,POINT (-75.45629972612947 40.247754670860886)
1780,1774,02040201000103,4483009,POINT (-75.00234992706527 40.24832320446558)
2478,1773,02040201000408,4483005,POINT (-75.03306939375187 40.255937071152594)
3149,1772,02040201000107,4482999,POINT (-75.03306939375187 40.255937071152594)
3179,2294,02040203000050,4781261,POINT (-75.44164332667704 40.25810087053481)
1872,1496,02040105000009,2590235,POINT (-74.66170452801187 40.26640480426507)
3144,1492,02040105000008,2590117,POINT (-74.70654639396444 40.26880720390207)
1846,2292,02040203000051,4781171,POINT (-75.41578679370949 40.2731252041636)
2140,1497,02040105001091,2590249,POINT (-74.8564905940191 40.2768962706297)
2071,1770,02040201000378,4482735,POINT (-75.20472339422115 40.28251280444944)
3148,1769,02040201000129,4482733,POINT (-75.20472339422115 40.28251280444944)
3147,1768,02040201000131,4482695,POINT (-75.21165739429618 40.30722207055456)
1728,1495,02040105001092,2590217,POINT (-74.93268219393968 40.33288360432992)
1932,2018,02040205000036,4650714,POINT (-75.6496235925714 39.92311827112146)
2784,2028,02040205000066,4651852,POINT (-75.6496235925714 39.92311827112146)
3207,2017,02040205000217,4650698,POINT (-75.6803059924341 39.931962871413475)
2836,2015,02040205000216,4650688,POINT (-75.67974119287489 39.93200900450339)
2088,2016,02040205000069,4650692,POINT (-75.67974119287489 39.93200900450339)
3206,2014,02040205000082,4650580,POINT (-75.80014919344855 39.96147260437009)
3211,2012,02040205000049,4650548,POINT (-75.67322959289982 39.968306404517485)
3210,2008,02040205000053,4648568,POINT (-75.70609272619836 40.02111387165114)
1379,2011,02040205000086,4648708,POINT (-75.84364912601515 40.026266070952225)
3205,2007,02040205000769,4648544,POINT (-75.84364912601515 40.026266070952225)
3209,2005,02040205000695,4648506,POINT (-75.71907692641285 40.049799204466716)
1502,2006,02040205000057,4648508,POINT (-75.71907692641285 40.049799204466716)
3204,2010,02040205000089,4648694,POINT (-75.84228532577 40.0696738043328)
3208,2009,02040205000702,4648686,POINT (-75.73475272680113 40.097930270996144)
2035,2321,02040203000097,4782503,POINT (-75.50944659382101 40.136386471090695)
1132,2322,02040203000252,4782505,POINT (-75.50944659382101 40.136386471090695)
3175,2305,02040203000255,4782153,POINT (-75.576039793643 40.13799980465614)
1634,2297,02040203000256,4781647,POINT (-75.60298899253317 40.15098180436868)
3174,2319,02040203000102,4782441,POINT (-75.60674219330548 40.23675720451171)
2567,2317,02040203000103,4782395,POINT (-75.65864639284754 40.242319471142565)
2223,2318,02040203000123,4782429,POINT (-75.65864639284754 40.242319471142565)
3173,2293,02040203000106,4781199,POINT (-75.66830092661178 40.26735267100789)
3171,2316,02040203000136,4782313,POINT (-75.93784579229062 40.32965547026972)
3172,2291,02040203000113,4780921,POINT (-75.73822819283195 40.33489967066107)
3168,2334,02040203000467,4783303,POINT (-76.14353272541678 40.34042520388655)
2684,2315,02040203000222,4782309,POINT (-75.95047799224177 40.34498187022697)
2273,2314,02040203000137,4782307,POINT (-75.95047799224177 40.34498187022697)
3170,2301,02040203000224,4782017,POINT (-75.96668892590336 40.35835040405066)
2442,2309,02040203008975,4782255,POINT (-75.5087879264864 40.36936187028181)
3169,2333,02040203000226,4783213,POINT (-76.00765652603526 40.37295407088531)
3177,2290,02040203000542,4780787,POINT (-75.5191899930856 40.375029603768084)
2205,2337,02040203000242,4783475,POINT (-76.17599572560287 40.38610087057614)
3176,2289,02040203000088,4780723,POINT (-75.51108459320183 40.391475070933645)
1349,2336,02040203009023,4783453,POINT (-76.05433539231677 40.395389403929485)
2801,2335,02040203009025,4783445,POINT (-76.05433539231677 40.395389403929485)
3167,2332,02040203000241,4783101,POINT (-76.16681792606613 40.41723047055322)
1941,2312,02040203000139,4782271,POINT (-75.94935712602302 40.42321187037367)
1962,2313,02040203000159,4782273,POINT (-75.94935712602302 40.42321187037367)
1306,2288,02040203000139,4780625,POINT (-75.94905432567747 40.423600403569885)
3164,2311,02040203000160,4782265,POINT (-75.9511065926717 40.42394060401101)
2389,2331,02040203000237,4783069,POINT (-76.1120919918616 40.42536240409982)
1320,2330,02040203000229,4783025,POINT (-76.1120919918616 40.42536240409982)
3166,2279,02040203000144,4779053,POINT (-75.88252992557689 40.51395807027586)
3165,2280,02040203001380,4779167,POINT (-75.999657325642 40.51950220335636)
1729,1702,02040106000324,4187851,POINT (-75.52106792678323 40.536886270839354)
